k_invA,chi
0.000000000000000000e+00,6.627777071449498791e-01
5.000000000000000278e-02,5.805754152834545767e-01
1.000000000000000056e-01,5.149452970021206610e-01
1.500000000000000222e-01,4.633261467717188498e-01
2.000000000000000111e-01,4.231567590630200826e-01
2.500000000000000000e-01,3.918759283467947441e-01
3.000000000000000444e-01,3.669224490938137184e-01
3.500000000000000333e-01,3.457351157748474457e-01
4.000000000000000222e-01,3.257527228606667546e-01
4.500000000000000111e-01,3.044140648220422518e-01
5.000000000000000000e-01,2.791579361297445439e-01
5.500000000000000444e-01,2.476706420672692699e-01
6.000000000000000888e-01,2.122727421563848083e-01
6.500000000000000222e-01,1.790274007484426722e-01
7.000000000000000666e-01,1.475025738917088436e-01
7.500000000000000000e-01,1.120387962617918481e-01
8.000000000000000444e-01,7.227284053410040765e-02
8.500000000000000888e-01,3.090740126384250441e-02
9.000000000000000222e-01,-1.032142012998415320e-02
9.500000000000000666e-01,-5.009921521135955735e-02
1.000000000000000000e+00,-8.552797549361704221e-02
1.050000000000000044e+00,-1.111114042815745800e-01
1.100000000000000089e+00,-1.315297175804202023e-01
1.150000000000000133e+00,-1.452032903401236363e-01
1.200000000000000178e+00,-1.497321297373405968e-01
1.250000000000000000e+00,-1.526043452935544609e-01
1.300000000000000044e+00,-1.576650878182284943e-01
1.350000000000000089e+00,-1.636930334583336366e-01
1.400000000000000133e+00,-1.599550995796392705e-01
1.450000000000000178e+00,-1.543980120937190059e-01
1.500000000000000000e+00,-1.458684031398327641e-01
1.550000000000000044e+00,-1.262242249042583031e-01
1.600000000000000089e+00,-8.845682696654687260e-02
1.650000000000000133e+00,-5.592139915468845313e-02
1.700000000000000178e+00,-3.944152809804535309e-03
1.750000000000000000e+00,3.133203026748155456e-02
1.800000000000000044e+00,7.304911512453782230e-02
1.850000000000000089e+00,1.179716802988185348e-01
1.900000000000000133e+00,1.443734112432969452e-01
1.950000000000000178e+00,1.480696028834287414e-01
2.000000000000000000e+00,1.279453579633982596e-01
2.050000000000000266e+00,9.509061039946774263e-02
2.100000000000000089e+00,5.996988533246082331e-02
2.149999999999999911e+00,2.381301730256693561e-02
2.200000000000000178e+00,-5.135434252521671244e-04
2.250000000000000000e+00,-1.398848709093433035e-02
2.300000000000000266e+00,-9.753393928099403712e-03
2.350000000000000089e+00,1.696618917572678339e-02
2.400000000000000355e+00,5.369792283603934402e-02
2.450000000000000178e+00,8.680252637224458723e-02
2.500000000000000000e+00,1.047729959873338335e-01
2.550000000000000266e+00,8.865572542429131508e-02
2.600000000000000089e+00,5.765392688062057069e-02
2.650000000000000355e+00,1.896533434783551769e-02
2.700000000000000178e+00,-1.167831713335942129e-02
2.750000000000000000e+00,-3.845592737372225539e-02
2.800000000000000266e+00,-6.178307503820524432e-02
2.850000000000000089e+00,-8.244121914884661173e-02
2.900000000000000355e+00,-9.308511906474745135e-02
2.950000000000000178e+00,-9.104490335238904497e-02
3.000000000000000000e+00,-8.527081903570955801e-02
3.050000000000000266e+00,-7.448796421310581450e-02
3.100000000000000089e+00,-6.277514397377224886e-02
3.150000000000000355e+00,-4.110328266453895651e-02
3.200000000000000178e+00,-1.744814205140030397e-02
3.250000000000000000e+00,8.605518438643280053e-04
3.300000000000000266e+00,2.616490254389641432e-02
3.350000000000000089e+00,5.191599104256784669e-02
3.400000000000000355e+00,7.240607548287075756e-02
3.450000000000000178e+00,8.767113798597551966e-02
3.500000000000000000e+00,8.898632344074015876e-02
3.550000000000000266e+00,7.334515694635851402e-02
3.600000000000000089e+00,4.717917402929400206e-02
3.650000000000000355e+00,1.978907779106189521e-02
3.700000000000000178e+00,-1.058512412558611226e-02
3.750000000000000000e+00,-3.177289889810582663e-02
3.800000000000000266e+00,-4.661890048548336662e-02
3.850000000000000089e+00,-5.543206645416645650e-02
3.900000000000000355e+00,-5.599448815807173130e-02
3.950000000000000178e+00,-4.981576976983129873e-02
4.000000000000000000e+00,-3.886200269824198472e-02
4.049999999999999822e+00,-3.079726513610802491e-02
4.100000000000000533e+00,-3.057327437481050653e-02
4.150000000000000355e+00,-3.582921416569178480e-02
4.200000000000000178e+00,-3.822827650069331173e-02
4.250000000000000000e+00,-3.147938153083420371e-02
4.299999999999999822e+00,-1.817079755964803867e-02
